Sample pc1 pc2 pc3 pc4 pc5 pc6 pc7 pc8 pc9 pc10 pc11 pc12 pc13 pc14 pc15 pc16 pc17 pc18 pc19 pc20 Population Population.2
HG00096 67.8007 102.617 -21.045 36.8501 1.87099 4.32985 -2.06401 1.98736 0.45776 -7.80783 3.57814 -13.463 0.501854 -11.1519 -0.00295833 -1.59698 -4.64946 12.6597 -2.73774 8.72935 GBR EUR
HG00097 67.5792 105.029 -22.229 36.1928 1.7489 6.6667 -0.442634 1.81434 -0.120092 4.29421 8.45904 -17.8408 0.0889773 -10.7462 -3.76658 4.79586 -5.80261 9.22025 -3.43282 9.35858 GBR EUR
HG00099 68.7142 104.447 -23.6868 33.3707 1.61066 11.2716 1.41361 2.05792 -7.86233 -19.8125 -1.80166 -17.9092 0.182712 -13.2262 -4.36516 2.59272 -3.97307 10.1994 0.293457 7.72666 GBR EUR
HG00100 66.132 104.772 -21.8067 36.2867 -1.45252 2.93319 1.07103 0.319505 -8.28518 -23.0297 -2.82885 -16.5998 -4.62452 -8.85478 -2.13651 0.610854 -3.51539 12.8717 -0.117251 8.72956 GBR EUR
HG00101 67.3462 103.403 -23.516 35.5817 0.962098 9.13375 0.435195 -0.40801 0.342955 -23.7999 -4.54868 -10.0896 -5.31309 -16.9647 1.73837 6.07833 -5.16458 14.9834 -2.16773 14.0427 GBR EUR
HG00102 69.6681 104.995 -22.4746 34.4828 4.53176 11.5181 1.56394 1.05005 0.442205 -6.58018 0.609985 -18.8758 4.91164 -8.48085 -3.34313 2.80838 -1.017 13.2199 -0.680587 9.90012 GBR EUR
HG00103 69.5819 103.018 -24.0118 36.1783 0.894198 7.3934 0.775366 1.50754 -3.39882 0.989902 1.57642 -18.1411 3.64821 -8.3445 2.0739 1.01085 -10.1065 0.995366 -3.68585 7.3422 GBR EUR
HG00105 66.7021 102.549 -24.1281 36.5597 0.152613 8.44897 0.0543628 3.45612 -0.947573 -7.60537 -1.18433 -14.55 3.49166 -5.26368 -6.89411 2.15012 -3.18598 11.135 1.28304 16.2198 GBR EUR
HG00106 69.0227 104.567 -21.9878 34.7825 -3.39843 7.45839 -2.96255 2.57408 -5.80013 -8.48053 -0.549707 -16.2986 5.00242 -13.4961 -3.95192 1.61732 -7.88897 10.675 0.690036 11.1397 GBR EUR
HG00107 69.8657 101.882 -24.4739 34.1356 -0.480532 10.6488 1.82222 -0.0354532 -2.6341 -14.2811 -3.34272 -15.7101 3.36644 -5.40153 -3.72042 2.36485 -6.63403 7.69408 -2.32373 4.05498 GBR EUR
